iter	RMSE
0	1.758947234
1	1.748096823
2	1.737313658
3	1.727094432
4	1.718545802
5	1.710687729
6	1.703264024
7	1.696629342
8	1.690078413
9	1.684468392
10	1.679207105
11	1.673971621
12	1.669547912
13	1.664828502
14	1.661035031
15	1.657054856
16	1.653524048
17	1.650089534
18	1.647716731
19	1.644894417
20	1.643531768
21	1.640973063
22	1.639104352
23	1.637064767
24	1.635885976
25	1.634155867
26	1.633173438
27	1.6318016
28	1.629640332
29	1.627991963
30	1.626798065
31	1.625113524
32	1.623867216
33	1.622660983
34	1.621236465
35	1.619711538
36	1.618271421
37	1.616778066
38	1.615518384
39	1.614410486
40	1.61242036
41	1.611299566
42	1.610569909
43	1.610290164
44	1.608935501
45	1.607614295
46	1.606416756
47	1.606078508
48	1.605354997
49	1.604862881
50	1.604402606
51	1.60367143
52	1.602703017
53	1.602137157
54	1.600957839
55	1.599593413
56	1.598766751
57	1.597809127
58	1.596717798
59	1.596292982
60	1.596200384
61	1.594970105
62	1.594497209
63	1.593880569
64	1.593418937
65	1.592787913
66	1.591594379
67	1.590507189
68	1.589640437
69	1.588725549
70	1.587769553
71	1.587272318
72	1.58655073
73	1.585915379
74	1.585425047
75	1.58448695
76	1.583953708
77	1.582867631
78	1.581887555
79	1.580912231
80	1.580832578
81	1.580102689
82	1.5793606
83	1.579098144
84	1.578187233
85	1.577980838
86	1.577224203
87	1.577007902
88	1.576324849
89	1.575270279
90	1.574706087
91	1.574209028
92	1.573575345
93	1.573402993
94	1.572221098
95	1.571343417
96	1.570773087
97	1.570164658
98	1.569034497
99	1.568535338
100	1.568435581
101	1.567918521
102	1.567581924
103	1.567127571
104	1.567055534
105	1.56634998
106	1.565806808
107	1.565117525
108	1.56457031
109	1.564204464
110	1.564143462
111	1.563623783
112	1.563218495
113	1.56305445
114	1.56305154
115	1.562663518
116	1.562065831
117	1.561029129
118	1.560467589
119	1.560150414
120	1.559743809
121	1.55950405
122	1.558928545
123	1.558628617
124	1.557809606
125	1.557040956
126	1.556646562
127	1.556524007
128	1.556252337
129	1.556205388
130	1.555434271
131	1.555018091
132	1.554385029
133	1.554088233
134	1.553930394
135	1.553437879
136	1.553254612
137	1.552822976
138	1.552454516
139	1.551874652
140	1.55149149
141	1.549977362
142	1.549255838
143	1.548734693
144	1.548516615
145	1.547899475
146	1.547501514
147	1.547210609
148	1.546632148
149	1.546036018
150	1.545434136
151	1.545302716
152	1.544995495
153	1.5446378
154	1.544039183
155	1.54289059
156	1.542374636
157	1.542225954
158	1.54178896
159	1.540786872
160	1.540567289
161	1.539976292
162	1.53927478
163	1.538420734
164	1.537582427
165	1.537478615
166	1.537116882
167	1.536792063
168	1.536558713
169	1.536488346
170	1.535931855
171	1.535512822
172	1.534683278
173	1.534438953
174	1.533601574
175	1.53276884
176	1.53260781
177	1.532015591
178	1.531640888
179	1.531165805
180	1.530717201
181	1.530112296
182	1.529554847
183	1.528977361
184	1.528522165
185	1.528048839
186	1.527899699
187	1.526960411
188	1.526378139
189	1.525475656
190	1.524976489
191	1.524441103
192	1.52360251
193	1.523445699
194	1.523148626
195	1.523054766
196	1.522739645
197	1.521710095
198	1.520799176
199	1.5202901
200	1.51969323
201	1.5194196
202	1.519199165
203	1.518648906
204	1.517727759
205	1.517056203
206	1.516551393
207	1.515613544
208	1.515284624
209	1.514910763
210	1.514494442
211	1.513586967
212	1.513255499
213	1.512979702
214	1.512415358
215	1.511785404
216	1.511304634
217	1.510913981
218	1.51042915
219	1.51003097
220	1.50881414
221	1.508135439
222	1.508055474
223	1.507892554
224	1.507776912
225	1.507058918
226	1.506974913
227	1.506718443
228	1.506096141
229	1.504757497
230	1.504065646
231	1.503237799
232	1.502249804
233	1.501927544
234	1.501353768
235	1.500823841
236	1.500587151
237	1.499890375
238	1.499820686
239	1.499122081
240	1.498414231
241	1.49736425
242	1.496242781
243	1.495607912
244	1.495424153
245	1.495132443
246	1.494707577
247	1.494687502
248	1.494670213
249	1.494255433
250	1.493610097
251	1.493566478
252	1.49324092
253	1.493080792
254	1.492745769
255	1.492050488
256	1.491292779
257	1.49079297
258	1.490771994
259	1.490398388
260	1.489624855
261	1.488957778
262	1.488907774
263	1.488364772
264	1.487603837
265	1.487521841
266	1.486890798
267	1.486839405
268	1.486367223
269	1.485221144
270	1.484948469
271	1.484472086
272	1.484148055
273	1.483218282
274	1.48276751
275	1.482039826
276	1.481423972
277	1.480977454
278	1.480247589
279	1.479713475
280	1.479702785
281	1.479313562
282	1.478855997
283	1.478550984
284	1.47809388
285	1.47697004
286	1.476923992
287	1.476348757
288	1.475929661
289	1.475244064
290	1.47506277
291	1.474429804
292	1.473521938
293	1.47341413
294	1.472442641
295	1.47212127
296	1.472016391
297	1.471586147
298	1.47109413
299	1.470818252
300	1.470468669
301	1.469490429
302	1.468917549
303	1.468373358
304	1.467596677
305	1.466850979
306	1.466157119
307	1.465075076
308	1.464267856
309	1.46391026
310	1.463149363
311	1.463122921
312	1.462246027
313	1.461822224
314	1.461759193
315	1.461296281
316	1.46016159
317	1.459853226
318	1.459656428
319	1.459322149
320	1.459036099
321	1.45901939
322	1.458956396
323	1.458510468
324	1.458385024
325	1.458135291
326	1.457325732
327	1.457219186
328	1.456414138
329	1.456382483
330	1.455590997
331	1.454664069
332	1.454345123
333	1.454311269
334	1.454077354
335	1.45346414
336	1.452934267
337	1.452213396
338	1.451511759
339	1.45075198
340	1.450249196
341	1.450208225
342	1.450041028
343	1.44920678
344	1.448528531
345	1.447992731
346	1.447788128
347	1.447357879
348	1.447065344
349	1.446978508
350	1.445974469
351	1.44538898
352	1.445251837
353	1.445157995
354	1.444399122
355	1.443876444
356	1.443569635
357	1.443189494
358	1.443176897
359	1.442451994
360	1.44171987
361	1.441700764
362	1.441020365
