iter	Passed	Remaining
0	54	26987
1	99	24782
2	147	24438
3	189	23512
4	249	24683
5	300	24753
6	358	25221
7	414	25484
8	474	25876
9	535	26233
10	590	26265
11	662	26945
12	725	27168
13	791	27467
14	860	27815
15	920	27855
16	984	27983
17	1048	28084
18	1110	28112
19	1163	27917
20	1224	27922
21	1282	27873
22	1344	27890
23	1404	27858
24	1462	27794
25	1515	27636
26	1570	27515
27	1621	27326
28	1639	26630
29	1698	26603
30	1727	26135
31	1785	26108
32	1838	26016
33	1891	25923
34	1943	25824
35	1998	25763
36	2054	25703
37	2100	25534
38	2151	25431
39	2202	25332
40	2255	25251
41	2307	25158
42	2352	24997
43	2400	24876
44	2445	24721
45	2474	24419
46	2522	24311
47	2574	24239
48	2625	24163
49	2676	24084
50	2726	24001
51	2778	23939
52	2833	23898
53	2885	23832
54	2940	23791
55	2988	23697
56	3040	23633
57	3102	23640
58	3152	23565
59	3200	23473
60	3251	23402
61	3297	23293
62	3348	23224
63	3363	22912
64	3411	22827
65	3456	22726
66	3500	22622
67	3545	22522
68	3590	22424
69	3635	22333
70	3679	22233
71	3729	22172
72	3775	22082
73	3814	21959
74	3860	21873
75	3905	21789
76	3952	21710
77	3994	21611
78	4037	21518
79	4083	21437
80	4125	21339
81	4149	21151
82	4192	21061
83	4235	20974
84	4278	20890
85	4325	20822
86	4358	20690
87	4381	20511
88	4411	20372
89	4456	20302
90	4502	20236
91	4548	20171
92	4602	20142
93	4649	20082
94	4698	20031
95	4748	19984
96	4793	19914
97	4838	19848
98	4890	19808
99	4941	19764
100	4987	19704
101	5044	19684
102	5092	19626
103	5136	19557
104	5182	19496
105	5227	19430
106	5276	19380
107	5355	19438
108	5420	19442
109	5510	19538
110	5563	19498
111	5614	19449
112	5666	19405
113	5718	19361
114	5769	19315
115	5818	19262
116	5849	19149
117	5888	19063
118	5940	19020
119	5985	18955
120	6033	18899
121	6085	18854
122	6132	18794
123	6178	18733
124	6225	18677
125	6273	18621
126	6289	18473
127	6338	18420
128	6368	18314
129	6415	18260
130	6450	18169
131	6496	18112
132	6527	18011
133	6575	17960
134	6670	18034
135	6721	17988
136	6770	17938
137	6820	17890
138	6867	17836
139	6915	17781
140	6960	17721
141	7013	17680
142	7068	17645
143	7115	17590
144	7162	17536
145	7213	17489
146	7264	17444
147	7312	17392
148	7358	17335
149	7407	17283
150	7456	17234
151	7504	17181
152	7553	17130
153	7601	17079
154	7654	17038
155	7702	16984
156	7748	16928
157	7795	16873
158	7840	16815
159	7886	16758
160	7932	16702
161	7978	16646
162	8021	16584
163	8072	16539
164	8117	16480
165	8166	16430
166	8211	16374
167	8254	16312
168	8297	16251
169	8343	16195
170	8388	16139
171	8432	16081
172	8477	16023
173	8519	15961
174	8565	15908
175	8611	15853
176	8656	15796
177	8699	15737
178	8746	15684
179	8790	15627
180	8833	15569
181	8879	15513
182	8922	15456
183	8967	15400
184	9012	15345
185	9060	15295
186	9105	15240
187	9150	15186
188	9194	15129
189	9237	15071
190	9283	15018
191	9325	14959
192	9369	14903
193	9417	14853
194	9461	14799
195	9513	14754
196	9556	14699
197	9605	14650
198	9656	14606
199	9705	14558
200	9756	14514
201	9802	14461
202	9847	14407
203	9892	14354
204	9942	14307
205	9986	14253
206	10031	14198
207	10079	14149
208	10126	14100
209	10169	14044
210	10216	13992
211	10259	13937
212	10303	13882
213	10349	13831
214	10395	13780
215	10443	13731
216	10493	13685
217	10546	13642
218	10593	13592
219	10639	13541
220	10683	13487
221	10727	13434
222	10776	13385
223	10818	13330
224	10864	13278
225	10911	13229
226	10954	13173
227	10999	13121
228	11045	13071
229	11091	13020
230	11136	12967
231	11191	12927
232	11238	12878
233	11285	12828
234	11331	12778
235	11377	12727
236	11427	12681
237	11470	12627
238	11518	12578
239	11565	12529
240	11610	12477
241	11654	12425
242	11700	12374
243	11745	12323
244	11791	12272
245	11836	12221
246	11881	12169
247	11926	12118
248	11970	12066
249	12014	12014
250	12061	11965
251	12107	11915
252	12150	11862
253	12199	11814
254	12248	11767
255	12292	11716
256	12335	11663
257	12381	11613
258	12426	11562
259	12468	11509
260	12515	11460
261	12581	11429
262	12656	11405
263	12723	11374
264	12774	11328
265	12819	11277
266	12864	11226
267	12908	11174
268	12958	11128
269	13001	11075
270	13046	11024
271	13092	10974
272	13135	10922
273	13179	10870
274	13225	10821
275	13273	10772
276	13321	10724
277	13365	10673
278	13408	10621
279	13453	10570
280	13495	10517
281	13537	10465
282	13586	10417
283	13640	10374
284	13683	10322
285	13728	10272
286	13771	10221
287	13816	10170
288	13861	10120
289	13904	10068
290	13947	10017
291	13994	9968
292	14037	9917
293	14082	9867
294	14124	9815
295	14166	9763
296	14209	9712
297	14252	9660
298	14301	9613
299	14344	9563
300	14392	9515
301	14437	9465
302	14480	9414
303	14523	9363
304	14570	9315
305	14618	9267
306	14660	9216
307	14707	9168
308	14751	9117
309	14795	9068
310	14838	9017
311	14882	8967
312	14926	8917
313	14970	8867
314	15015	8818
315	15063	8770
316	15110	8723
317	15157	8674
318	15208	8629
319	15333	8625
320	15395	8585
321	15464	8548
322	15529	8510
323	15595	8471
324	15652	8428
325	15717	8389
326	15830	8375
327	15899	8337
328	15961	8296
329	16018	8252
330	16072	8206
331	16130	8162
332	16187	8117
333	16243	8072
334	16298	8027
335	16360	7985
336	16413	7938
337	16466	7892
338	16515	7843
339	16568	7797
340	16624	7751
341	16685	7708
342	16743	7663
343	16796	7616
344	16851	7570
345	16902	7523
346	16960	7478
347	17010	7429
348	17060	7381
349	17108	7332
350	17161	7285
351	17210	7236
352	17260	7187
353	17312	7140
354	17369	7094
355	17440	7054
356	17513	7015
357	17569	6969
358	17625	6922
359	17679	6875
360	17731	6827
361	17782	6779
362	17833	6730
363	17893	6685
364	17942	6636
365	17992	6587
366	18044	6539
367	18094	6490
368	18147	6442
369	18206	6396
370	18257	6348
371	18312	6301
372	18364	6252
373	18417	6204
374	18472	6157
375	18527	6110
376	18579	6061
377	18633	6013
378	18688	5966
379	18738	5917
380	18791	5869
381	18855	5824
382	18909	5776
383	18962	5728
384	19023	5682
385	19072	5632
386	19122	5583
387	19171	5534
388	19220	5484
389	19272	5435
390	19322	5386
391	19380	5339
392	19431	5290
393	19483	5241
394	19541	5194
395	19598	5147
396	19658	5100
397	19713	5052
398	19762	5002
