GPA,Semester_GPA,CGPA,Stress_Index,Attendance_Rate,Study_Hours_per_Day,Assignment_Delay_Days,Part_Time_Job,Dropout
2.26,2.42,2.4,9.3,76.8,4.08,5,0,1
1.98,1.7,1.7,6.2,86.2,2.57,1,0,0
1.65,1.53,1.56,6.2,78.9,2.94,4,0,1
2.18,2.2,2.2,5.3,75.5,4.94,1,1,1
0.46,0.92,0.92,6.0,77.6,4.48,2,1,1
2.41,2.41,2.45,1.9,76.1,2.89,1,0,0
1.41,2.03,1.97,7.4,80.6,5.77,4,0,0
2.62,3.04,3.01,7.3,82.7,3.81,3,0,0
0.62,0.29,0.29,3.3,76.9,2.88,1,1,1
1.43,1.2,1.29,5.7,81.0,2.52,1,0,1
1.14,1.08,1.08,4.1,73.6,3.03,5,1,1
3.91,4.0,3.95,1.0,69.0,4.9,3,0,0
1.93,1.98,1.98,4.4,79.1,3.91,1,0,1
0.61,0.8,0.86,9.0,80.1,3.03,1,0,1
0.52,0.28,0.24,6.3,78.7,5.5,3,0,1
1.23,1.74,1.78,9.2,84.3,3.47,3,1,0
4.0,3.65,3.68,4.5,89.1,7.37,1,1,0
1.92,1.72,1.72,7.9,82.8,3.5,1,1,1
3.67,3.79,3.83,5.7,76.0,1.95,2,0,0
2.09,2.37,2.33,6.1,78.7,2.45,0,1,1
1.35,0.73,0.79,5.9,79.5,3.44,1,0,0
1.92,1.99,1.99,7.4,85.7,3.14,4,1,1
2.15,2.22,2.22,6.9,79.5,5.68,3,0,0
0.54,0.59,0.56,4.7,70.8,4.24,2,0,1
1.92,2.3,2.3,5.7,99.9,1.71,2,1,1
2.2,1.99,2.0,5.8,84.0,2.46,3,0,1
0.19,0.34,0.39,5.8,80.6,3.48,4,1,1
4.0,4.0,4.0,1.0,76.6,6.17,0,0,0
0.27,0.0,0.02,7.9,78.2,2.79,1,1,1
2.63,2.83,2.78,4.0,79.3,3.5,2,1,0
3.9,3.79,3.83,2.0,93.4,2.3,0,1,0
1.15,1.13,1.13,7.9,62.5,1.43,1,0,1
4.0,4.0,4.0,3.1,89.5,4.35,1,0,0
2.1,1.88,1.88,8.3,84.0,3.29,0,1,1
0.68,0.69,0.71,5.7,75.3,2.62,4,0,1
2.07,2.27,2.23,8.0,83.9,6.07,3,1,1
2.81,2.63,2.63,4.3,96.9,3.51,2,0,0
1.87,1.63,1.64,5.4,80.7,3.89,2,1,1
1.73,2.02,2.0,7.2,63.8,4.75,0,1,1
4.0,4.0,4.0,5.8,77.1,5.85,0,1,0
3.53,3.47,3.57,4.3,88.2,4.82,0,1,0
1.5,1.13,1.13,7.5,79.1,4.53,2,1,1
1.82,1.56,1.5,4.7,68.4,4.89,2,1,1
2.47,3.02,3.03,3.1,77.1,3.7,1,0,0
3.08,3.03,3.03,4.4,66.2,5.34,1,0,1
1.33,1.06,1.04,3.7,69.4,2.16,6,1,0
1.05,1.12,1.17,3.9,67.0,3.35,3,0,1
1.56,1.64,1.64,4.5,64.1,5.01,1,0,0
2.58,3.11,3.11,5.5,84.0,7.19,2,1,0
0.64,0.61,0.64,3.8,81.8,2.43,2,0,0
1.98,1.72,1.71,1.6,74.7,2.13,1,1,0
0.71,0.93,0.94,7.7,83.1,3.51,0,0,1
1.36,2.01,2.05,5.9,71.8,4.51,2,0,1
1.08,0.45,0.45,7.6,86.3,2.91,2,0,0
2.18,2.61,2.61,5.9,86.3,2.36,0,0,0
1.91,1.72,1.66,7.2,74.6,2.51,2,0,1
2.42,2.55,2.51,7.1,72.0,6.37,1,1,0
2.36,2.72,2.65,5.8,88.5,5.85,0,1,1
2.04,2.28,2.34,6.5,85.9,4.56,1,1,1
0.0,0.0,0.0,8.1,85.2,4.8,2,1,1
0.0,0.04,0.13,5.4,78.0,3.46,2,1,1
0.86,1.08,1.13,3.1,75.2,4.25,1,1,1
2.32,2.37,2.37,5.0,93.9,6.94,1,0,1
0.71,0.46,0.48,8.4,82.8,2.63,1,1,1
4.0,3.55,3.55,5.3,91.0,6.63,4,0,0
1.8,1.9,1.86,6.8,79.4,2.58,2,1,0
2.72,3.19,3.19,4.1,78.6,4.42,5,1,0
2.25,2.15,2.24,5.7,86.4,3.46,1,0,0
0.51,0.78,0.78,5.6,94.8,3.93,3,0,1
1.61,1.47,1.45,4.6,82.5,3.29,1,0,1
4.0,3.95,3.92,5.7,83.2,7.45,2,1,0
1.32,1.49,1.48,5.4,84.6,4.37,1,0,1
0.22,0.22,0.24,7.6,68.1,3.18,0,0,1
1.76,2.09,2.09,6.0,91.7,5.44,1,0,1
1.45,1.43,1.43,6.2,74.3,4.22,1,0,1
0.65,0.46,0.46,5.5,87.2,3.27,2,0,1
1.94,2.16,2.19,7.8,78.0,2.61,2,1,1
1.38,0.67,0.67,3.9,86.8,2.53,0,0,1
2.58,2.64,2.64,7.2,92.3,6.96,2,0,1
2.29,2.27,2.26,8.8,72.2,5.04,2,0,1
0.0,0.0,0.02,9.4,69.0,3.45,2,1,0
3.91,4.0,3.99,2.1,75.5,3.99,1,0,0
3.15,2.92,2.97,4.5,74.1,5.54,4,0,1
1.94,2.03,2.09,6.2,83.7,5.74,0,1,0
3.35,3.31,3.35,5.8,82.2,4.22,2,0,0
0.73,0.25,0.22,4.6,73.7,3.44,0,1,1
3.16,3.38,3.32,1.2,84.1,2.19,3,0,0
1.14,1.38,1.39,9.5,81.4,4.44,2,1,1
4.0,4.0,4.0,5.1,84.2,3.89,0,1,0
4.0,3.83,3.8,3.6,88.9,5.29,2,0,0
2.98,2.95,3.01,5.3,91.5,4.46,3,1,0
2.81,2.61,2.61,5.0,92.0,2.23,0,0,0
2.96,3.29,3.29,6.0,80.9,3.01,2,1,0
3.26,3.5,3.43,6.1,73.7,5.97,5,0,0
4.0,3.9,3.9,4.8,94.6,3.26,1,1,0
3.01,3.06,3.02,5.6,68.1,2.25,1,0,0
2.77,2.97,2.97,6.6,76.5,3.44,1,1,0
3.59,3.51,3.49,4.8,83.1,5.36,2,0,0
1.97,1.52,1.54,4.5,81.4,3.19,2,1,0
3.33,3.44,3.44,3.8,76.9,1.58,1,0,0
1.22,1.25,1.25,5.5,92.4,3.59,1,0,1
1.7,1.5,1.5,5.3,81.5,4.66,2,0,0
4.0,4.0,4.0,6.9,99.7,4.49,0,1,0
0.56,0.31,0.36,5.9,80.4,3.03,6,1,1
3.69,3.54,3.54,4.1,82.9,5.38,3,1,0
0.45,0.24,0.24,7.2,96.7,1.8,2,0,0
0.82,0.77,0.75,5.5,86.7,2.61,4,1,0
1.28,1.52,1.56,6.1,79.9,3.93,4,1,1
0.98,0.75,0.72,6.7,94.4,2.51,2,0,1
1.89,1.79,1.79,6.7,73.5,3.04,1,1,1
0.31,0.04,0.0,5.4,85.7,3.8,3,0,1
2.17,1.98,1.87,3.2,77.8,4.22,3,0,0
1.82,1.7,1.7,4.5,75.0,1.55,1,0,0
2.33,2.86,2.93,5.4,74.1,3.73,3,0,0
2.91,3.09,3.09,7.4,80.1,4.55,2,1,0
3.12,2.76,2.76,3.7,83.7,3.01,2,0,0
4.0,4.0,3.97,5.2,75.0,5.22,1,0,0
1.67,0.97,0.97,8.3,85.1,3.4,2,1,0
1.4,1.81,1.83,4.8,74.4,3.57,2,1,0
2.63,2.53,2.52,6.8,88.6,6.02,0,1,1
1.99,1.86,1.86,3.9,83.3,4.21,1,1,0
2.29,2.18,2.19,3.7,83.7,4.79,1,0,0
2.52,2.62,2.62,5.3,88.2,4.32,2,0,0
1.5,2.4,2.4,6.5,100.0,2.37,1,0,1
1.17,0.99,0.95,6.2,86.1,5.55,2,0,0
2.86,2.93,2.93,4.3,83.1,4.53,1,0,1
1.31,1.36,1.35,5.7,71.8,4.01,1,0,0
4.0,3.83,3.74,3.1,89.1,7.95,6,1,0
4.0,3.82,3.81,4.1,78.1,3.83,2,0,0
2.05,2.17,2.17,3.7,82.9,4.73,2,1,1
1.82,2.11,2.11,6.0,78.4,3.82,4,0,0
2.85,3.43,3.43,7.3,100.0,5.03,0,0,1
2.67,2.56,2.59,5.2,77.2,2.09,1,1,0
2.0,1.81,1.86,6.0,84.5,3.2,5,0,0
2.83,2.85,2.82,7.1,91.8,4.64,0,1,0
2.48,2.21,2.18,6.0,100.0,3.7,3,1,0
3.71,3.99,3.94,5.4,80.7,4.11,1,0,0
1.73,0.99,1.03,4.2,88.4,3.12,2,1,1
3.77,3.7,3.65,3.8,86.2,6.54,2,0,0
1.48,1.74,1.74,7.1,84.9,3.31,2,0,0
2.21,1.63,1.66,6.9,80.9,3.82,2,0,0
3.41,3.33,3.4,3.8,64.9,4.15,1,1,1
0.92,0.6,0.66,6.0,96.6,4.78,5,1,1
3.02,3.02,3.06,7.7,72.5,3.29,3,0,0
2.88,2.81,2.86,3.5,78.2,3.01,1,1,0
2.34,2.83,2.9,6.6,81.9,4.77,2,0,0
2.26,2.28,2.26,6.6,86.6,3.69,3,0,1
0.25,0.16,0.16,6.8,80.6,2.52,2,1,1
2.47,2.67,2.68,6.1,87.0,3.34,2,1,0
2.55,2.04,2.04,7.8,81.4,3.5,3,1,0
4.0,3.72,3.73,6.4,97.8,5.39,2,0,0
3.21,3.52,3.52,3.8,97.5,1.95,2,1,0
4.0,4.0,3.86,4.5,82.1,5.65,0,0,0
0.5,0.43,0.43,7.0,84.2,2.86,3,0,1
2.79,2.48,2.49,4.6,78.6,4.04,0,0,0
0.27,0.0,0.0,7.6,89.8,4.98,3,1,1
1.03,0.61,0.6,7.4,82.8,5.49,3,1,1
3.24,3.23,3.23,6.2,78.2,3.57,3,1,1
1.12,1.25,1.25,6.8,63.7,3.37,1,1,1
0.85,0.91,0.93,7.7,93.8,3.22,1,0,1
1.77,1.9,1.85,4.8,82.5,3.66,1,0,0
3.68,3.59,3.55,7.4,92.8,1.34,1,0,0
0.49,0.7,0.7,3.6,77.1,3.32,3,1,1
3.52,3.9,3.91,8.1,83.4,4.81,1,1,1
3.1,3.79,3.81,4.5,67.9,4.02,4,0,0
0.0,0.0,0.02,4.0,78.3,4.61,0,1,1
2.77,2.99,2.98,4.1,92.5,4.46,2,1,0
0.09,0.0,0.0,8.3,81.2,2.19,2,0,1
1.24,1.07,1.16,6.3,77.0,6.71,2,0,1
3.3,4.0,4.0,6.9,100.0,3.73,1,0,0
1.88,1.77,1.77,5.7,78.0,5.37,1,1,1
0.01,0.0,0.0,8.8,68.4,3.87,4,0,1
2.93,2.54,2.54,4.5,86.9,3.85,0,0,0
1.45,1.61,1.57,4.1,82.1,3.69,2,1,0
1.41,1.83,1.83,6.1,85.2,4.49,5,0,1
3.83,4.0,4.0,4.6,74.3,2.72,1,0,0
3.27,3.3,3.29,4.8,65.0,2.73,2,0,0
0.0,0.01,0.06,6.3,72.4,4.43,0,0,1
3.6,3.65,3.59,5.6,85.6,5.06,2,0,0
1.09,1.1,1.09,5.9,79.0,3.72,1,1,0
2.28,2.02,2.01,7.1,85.9,3.42,2,0,0
3.7,4.0,3.89,5.6,85.8,4.66,0,0,0
1.4,2.01,1.98,6.0,83.2,3.54,1,1,1
3.48,3.41,3.47,3.5,70.4,2.3,5,0,0
2.55,3.01,2.98,5.7,85.7,4.38,5,1,0
1.4,1.15,1.15,4.4,75.8,3.23,1,0,1
1.27,1.19,1.19,6.4,65.0,2.67,1,0,1
0.0,0.1,0.08,3.2,81.6,2.25,1,0,0
0.98,0.68,0.68,4.1,98.9,2.51,1,1,1
2.59,2.25,2.25,8.4,84.7,3.13,2,1,1
4.0,4.0,3.97,6.1,85.8,5.78,3,1,0
0.31,0.04,0.03,7.2,73.7,1.37,1,0,1
0.5,0.1,0.09,6.2,76.9,4.23,3,1,0
2.72,2.58,2.62,4.4,78.5,5.7,1,0,0
3.15,3.71,3.71,4.9,77.2,4.29,1,1,0
0.0,0.17,0.19,6.4,78.0,3.92,2,0,1
2.78,3.3,3.3,5.2,92.3,5.55,2,1,1
2.39,2.23,2.22,10.0,96.4,4.73,2,0,0
1.25,0.94,0.96,5.2,85.4,0.92,2,1,0
3.9,3.96,3.96,3.5,76.3,5.33,1,1,0
2.78,2.82,2.84,5.6,92.8,3.36,1,0,1
3.0,2.64,2.6,6.9,93.4,3.94,4,1,0
1.98,2.45,2.37,7.6,72.8,4.47,4,0,1
4.0,3.94,3.95,2.5,66.8,3.97,2,0,0
2.89,2.81,2.79,6.4,83.8,3.56,2,1,0
0.11,0.0,0.0,6.6,87.4,3.8,2,1,1
1.3,0.75,0.75,8.1,74.6,1.81,0,0,1
3.19,3.45,3.45,2.4,69.4,6.43,1,1,0
0.02,0.29,0.29,7.7,67.0,3.46,6,0,1
3.04,2.79,2.72,7.7,93.6,3.5,1,1,0
3.11,3.16,3.16,3.0,78.1,7.66,4,1,0
0.84,0.55,0.57,6.2,73.2,5.42,1,1,1
2.3,2.52,2.51,7.7,89.3,3.77,2,1,0
3.08,3.04,3.04,4.1,73.7,3.47,0,1,0
2.28,2.35,2.35,7.8,68.6,4.27,3,1,0
3.18,3.55,3.55,5.6,79.6,3.44,3,0,0
0.0,0.02,0.02,4.9,66.0,3.65,2,1,1
1.06,1.02,0.97,4.8,78.1,3.62,2,0,1
0.28,0.29,0.29,5.5,70.5,3.14,3,0,1
4.0,4.0,3.98,3.8,73.8,5.71,5,1,1
2.11,2.29,2.26,4.7,100.0,5.03,2,0,1
0.0,0.0,0.0,7.6,99.7,2.39,3,1,1
